name,id,tags,planetary,decivRemove,script,desc,icon,order
Frontier Reinforcement Center,niko_MPC_derelictEscort,codex_unlockable,TRUE,FALSE,data.scripts.campaign.econ.conditions.derelictEscort.niko_MPC_derelictEscort,"$market is home to a sub-gamma ""management"" core, as well as sporadic auto-drone bays across the equator, filled to the brim with autofactories, ready to build and launch at a moments notice.",graphics/icons/markets/MPC_derelict_escort.png,
,,,,,,,,
SPECIAL - NO RANDOM SPAWN,,,,,,,,
Magnetar Devastation,niko_MPC_magnetarCondition,codex_unlockable,TRUE,FALSE,data.scripts.campaign.magnetar.niko_MPC_magnetarCondition,"$market is nigh-uninhabitable as a result of it's proximity to the nearby magnetar. The magnetic influences on the mantle cause unstable gravity, atmospheric disturbances, and spectacular volcanic eruptions that extend hundreds of kilometers above the surface until hardening into rock and continuing the doomed journey towards the star. If that wasn't bad enough, the surface is frequently slammed by pulses of highly ionized particles, rendering any speculation of a colony moot by complete lack of technological function.",graphics/icons/markets/MPC_magnetar_field_condition_icon.png,60
,,,,,,,,
Fractured World,MPC_fracturedWorld,codex_unlockable,TRUE,FALSE,data.scripts.campaign.singularity.MPC_fracturedWorld,"$market has spent innumerable years being devoured by the nearby black hole, and it is very likely that, at one point in time, it was much larger than it is now. Its mantle is exposed, and colonization is made utterly impossible by the incredibly harsh conditions.",graphics/icons/markets/MPC_devastation.png,200
,,,,,,,,
Forward Operating Base,MPC_FOB,hide_in_codex,FALSE,FALSE,data.scripts.campaign.magnetar.crisis.MPC_FOBCondition,"$market is a temporary military installation, lacking any significant civilian or commercial presence. Security is significantly tightened, with many docking bays converted into fighter hangars and communication relays replaced by weapon installations.",graphics/icons/markets/outpost.png,70
Benefactors,MPC_benefactors,hide_in_codex,FALSE,FALSE,data.scripts.campaign.magnetar.crisis.MPC_benefactorCondition,"The IAIIC receives significant military and capital investment from external factions. As long as this remains true, the IAIIC will be a formidable force within the sector.",graphics/icons/markets/MPC_benefactors.png,71
Investigations Underway,MPC_IAIICInvestigationCondition,hide_in_codex,FALSE,FALSE,data.scripts.campaign.magnetar.crisis.MPC_IAIICInterferenceCondition,$market and it's proximal space are subject to intense investigation by in-system IAIIC forces.,graphics/factions/MPC_IAIIC_crest.png,100
Command Disrupted,MPC_commandDisrupted,hide_in_codex,FALSE,FALSE,data.scripts.campaign.magnetar.crisis.MPC_commandDisruptedCondition,"The IAIIC has recently suffered a major blow to it's command structure, and is currently reorganizing at cost to it's military capabilities.",graphics/icons/campaign/major_bad_event.png,109
Disarmed,MPC_disarmedCondition,hide_in_codex,FALSE,FALSE,data.scripts.campaign.magnetar.crisis.MPC_disarmedCondition,"$market has been disarmed due to a ceasefire treaty, severely reducing it's orbital capabilities.",graphics/icons/campaign/event_neutral.png,
Sabotage,MPC_IAIICSabotageCondition,hide_in_codex,FALSE,FALSE,data.scripts.campaign.magnetar.crisis.intel.sabotage.MPC_IAIICSabotageCondition,$market is currently reeling from an adversery's covert action.,graphics/icons/campaign/event_bad.png,105
Arrow Pathers,MPC_arrowPatherCondition,hide_in_codex,FALSE,FALSE,data.scripts.campaign.magnetar.crisis.MPC_arrowPatherCondition,"$market is host to a sub-sect of pathers known as the ""Arrow Of Ludd"", whom will assist any construction efforts at the cost of income.",graphics/icons/markets/pather_base.png,101
Crossbow of Ludd,MPC_arrowPatherConditionTwo,hide_in_codex,FALSE,TRUE,data.scripts.campaign.magnetar.crisis.MPC_arrowPatherConditionTwo,"$market is the ""Crossbow of Ludd"", a core territory of the arrow pathers - a highly militaristic and well-funded sect of pathers. Significant effort is spent into reinforcing their territory against the demons of Moloch.",graphics/icons/markets/pather_base.png,102
Diktat Infiltration,MPC_DKInfiltrationCondition,hide_in_codex,FALSE,FALSE,data.scripts.campaign.magnetar.crisis.MPC_DKInfiltrationCondition,"$market has been infiltrated at a high level by a Diktat agent, who has ""struck"" a deal with the Charterist forces in-system. Umbra is to receive significant kickbacks, and Sindria is to receive 100% of Umbra's volatiles production. A rather favorable agreement to the Diktat, some would say.",graphics/factions/crest_sindrian_diktat.png,103
,,,,,,,,
UNUSED BELOW,,,,,,,,
Meson Field,niko_MPC_mesonField,hide_in_codex,TRUE,FALSE,data.scripts.campaign.econ.conditions.terrain.meson.niko_MPC_mesonFieldCondition,"A highly energized field of mesons orbits this planet, amplifying the sensor range of anything within it. Useful for early warning systems.",graphics/icons/terrain/corona.png,10
,,,,,,,,
,,,,,,,,
